title,url
Google Research at Google I/O 2025,https://research.google/blog/google-research-at-google-io-2025/
Fine-tuning LLMs with user-level differential privacy,https://research.google/blog/fine-tuning-llms-with-user-level-differential-privacy/
Deeper insights into retrieval augmented generation: The role of sufficient context,https://research.google/blog/deeper-insights-into-retrieval-augmented-generation-the-role-of-sufficient-context/
Differential privacy on trust graphs,https://research.google/blog/differential-privacy-on-trust-graphs/
Bringing 3D shoppable products online with generative AI,https://research.google/blog/bringing-3d-shoppable-products-online-with-generative-ai/
A new light on neural connections,https://research.google/blog/a-new-light-on-neural-connections/
Making complex text understandable: Minimally-lossy text simplification with Gemini,https://research.google/blog/making-complex-text-understandable-minimally-lossy-text-simplification-with-gemini/
Amplify Initiative: Localized data for globalized AI,https://research.google/blog/amplify-initiative-localized-data-for-globalized-ai/
AMIE gains vision: A research AI agent for multimodal diagnostic dialogue,https://research.google/blog/amie-gains-vision-a-research-ai-agent-for-multimodal-diagnostic-dialogue/
Benchmarking LLMs for global health,https://research.google/blog/benchmarking-llms-for-global-health/
Improving brain models with ZAPBench,https://research.google/blog/improving-brain-models-with-zapbench/
Introducing Mobility AI: Advancing urban transportation,https://research.google/blog/introducing-mobility-ai-advancing-urban-transportation/
